bn:00000013n;Million;million_209.35;number_146.31;mathematics_61.3;long scale_53.31;real number_50.43;numeral_50.35;short scale_50.12;digit_42.17;bally_41.77;millionaire_41.31;penguin_41.11;markov_40.61;complex number_38.37;infinity_36.79
bn:00074307n;Stingray;stingray_1766.22;shark_691.98;ray_281.73;tail_247.21;species_218.93;bull shark_169.42;dugong_161.88;dasyatis_161.33;pectoral fin_160.74;whipray_155.81;spine_148.48;tooth_146.14;disc_138.06;fish_132.39
bn:00074323n;Stirrup;horse_1919.56;stirrup_1411.45;saddle_1320.3;rider_1013.21;cavalry_364.1;sidesaddle_245.91;ride_230.49;leather_205.72;century_201.74;cowboy_199.98;bc_196.53;heel_178.07;rein_160.27;english saddle_154.58
bn:00074329n;Stoat;stoat_679.28;fur_536.32;weasel_460.66;bird_334.82;polecat_330.05;ferret_265.94;kakapo_262.87;nest_262.36;male_239.69;prey_223.07;animal_223.01;specie_219.68;red fox_209.99;ermine_202.73
bn:00074332n;Stock;stock_1677.56;share_968.95;price_773.35;company_680.54;shareholder_473.67;investor_433.17;dividend_375.99;icahn_279.89;value_213.35;capital_211.59;equity_204.25;trading_201.36;corporation_194.77;preferred stock_182.4
bn:00074364n;Stockade;stockade_722.69;fort_451.93;eureka_195.84;castle_191.19;fortification_151.26;wall_105.45;miner_97.11;andersonville_95.05;camp_83.23;prisoner_74.21;build_66.38;wirz_66.34;site_65.69;flag_61.11
bn:00074365n;Stockbroker;stockbroker_295.24;broker_188.63;stock_163.94;sec_101.94;financial_88.75;investor_86.18;finra_79.45;brokerage firm_76.88;security_72.73;price_65.97;trading_64.68;gardner_61.0;stock market_59.63;investment_55.43
bn:00074376n;Stocking;wear_649.14;stocking_510.28;pantyhose_338.87;trouser_189.42;corset_168.5;nylon_161.23;sock_160.12;garment_154.9;clothing_129.49;heel_119.3;fashion_116.89;woman_116.43;dress_115.69;garter_111.52
bn:00074394n;Stoichiometry;reaction_1164.6;combustion_342.39;reactant_324.6;stoichiometry_283.82;molecule_281.14;ratio_254.02;titration_237.43;oxygen_221.46;stoichiometric_217.08;atom_213.54;hydrogen_211.87;alkane_195.97;gas_195.9;alkali metal_190.37
bn:00074396n;Stoicism;stoic_744.34;philosophy_436.35;hegel_382.21;spinoza_353.85;bc_276.79;chrysippus_265.63;philosopher_254.05;stoics_253.9;stoicism_242.64;zeno_235.99;epictetus_219.5;posidonius_193.22;reason_163.87;virtue_156.21
bn:00074422n;Stonewalling;stonewalling_110.18;gottman_99.07;gunnysacking_32.81;microexpressions_23.69;couple_23.37;stonewall_21.78;facial expression_21.31;emotion_20.77;relationship_18.75;divorce_17.75;person_17.28;marriage_16.94;expression_11.21;study_10.72
bn:00074423n;Stoneware;pottery_1222.68;glaze_783.46;stoneware_756.89;ware_725.26;clay_645.34;ceramic_599.87;porcelain_523.42;kiln_320.73;potter_289.28;tile_178.3;earthenware_177.44;firing_132.79;produce_132.51;raku_120.33
bn:00074440n;Stopwatch;watch_517.98;stopwatch_193.35;chronograph_166.02;timer_160.11;time_122.61;datalink_111.72;balance wheel_97.57;display_97.09;minutes_88.41;decimal_73.93;mechanical_69.49;millisecond_68.78;button_68.64;wristwatch_67.12
bn:00074453n;Warehouse;warehouse_1191.31;pallet_165.03;logistic_150.87;storage_137.66;rack_110.62;building_108.61;tobacco_88.23;product_71.31;inventory_70.34;distribution_64.66;brick_58.44;national register of historic places_54.35;build_52.64;system_52.33
bn:00074457n;Stork;specie_3077.18;bird_2919.58;family_1771.73;passeriformes_1616.64;order_1511.65;passerine_831.56;worldwide_795.7;setophaga_592.08;plumage_572.37;bill_571.05;beak_559.87;stork_559.75;occur_535.98;charadriiformes_514.09
bn:00074458n;Storm;storm_1482.86;wind_786.87;cyclone_662.0;snow_516.39;thunderstorm_450.24;tropical_412.37;precipitation_311.65;hurricane_279.93;rain_273.47;rainfall_245.96;tornado_214.73;damage_210.29;weather_207.1;temperature_187.55
bn:00074476n;Stout;beer_3723.9;brewery_1464.91;ale_1007.36;stout_861.71;guinness_714.81;brew_709.7;malt_676.11;brewing_667.27;abv_580.35;lager_385.69;brewer_383.37;yeast_312.29;pale ale_286.38;hop_258.15
bn:00074479n;Stove;stove_1599.86;heat_481.86;kitchen_406.75;wood_349.03;chimney_321.46;oven_269.69;heating_261.85;fuel_227.8;cooking_224.09;smoke_201.97;combustion_166.15;pellet_158.33;gas_155.84;fire_152.25
bn:00074484n;Stover;ethanol_274.73;hay_150.87;stover_91.17;corn_86.25;bale_72.93;fuel_71.46;fodder_54.78;gasoline_53.53;feed_42.4;grass_33.33;animal_30.31;feedstock_30.08;biomass_27.57;produce_27.03
bn:00074487n;Stowaway;stowaway_237.47;ship_145.65;ofosu_113.7;stikine_59.3;convoy_57.47;reeve_55.9;passport_51.77;passenger_42.34;plesin_41.13;sail_40.4;persier_39.49;scillonian_37.35;crew_35.23;sjc_34.63
bn:00074492n;Straddle;option_579.32;price_419.34;stock_241.13;underlie_187.65;short_154.09;call option_124.07;expiration_120.14;volatility_113.83;straddle_110.56;strike_105.54;condor_93.3;trader_85.48;call_75.15;seller_72.97
bn:00074513n;Straightedge;drawing_217.96;straightedge_189.87;compass_133.72;angle_120.37;tool_110.28;girih_95.56;ruler_93.07;use_90.72;constructible_90.49;line_79.46;point_66.92;projective geometry_66.59;draw_64.2;trisect_59.89
bn:00074515n;Straitjacket;houdini_570.27;straitjacket_316.83;asylum_227.39;escape_225.53;arkham_216.0;joker_173.32;patient_148.41;bondage_133.1;magician_112.14;batman_95.44;jacket_93.43;pinel_87.23;magic_84.83;restraint_82.63
bn:00074531n;Strake;ship_472.42;strake_378.29;hull_242.01;boat_241.18;gun_205.69;deck_157.23;armor_132.64;plank_129.37;turret_106.42;dolia_99.18;vessel_98.84;battleship_87.07;titanic_85.54;thick_82.01
bn:00074538n;Strangeness;quark_1335.7;particle_557.32;meson_464.64;baryon_352.15;isospin_341.23;hadron_275.52;strangeness_229.4;proton_218.76;neutron_193.68;decay_178.31;flavor_177.53;quantum_173.16;mass_170.87;boson_167.63
bn:00074544n;Strap;noseband_318.95;dildo_217.94;rein_165.39;crupper_164.4;harness_152.61;strap_132.13;horse_131.91;cavesson_89.76;bootstrapping_87.63;helmet_84.69;use_66.11;accordion_56.82;strop_56.35;bootstrap_56.13
bn:00074565n;Stratigraphy;fossil_479.56;stratigraphy_371.18;rock_364.27;stratum_315.51;layer_297.84;geology_262.62;stratigraphic_197.6;sediment_166.06;geological_152.66;deposit_138.43;steno_136.61;earth_135.19;geologist_123.87;sedimentary_118.76
bn:00074566n;Stratosphere;ozone_1371.93;stratosphere_866.72;atmosphere_792.1;cloud_513.89;troposphere_464.03;temperature_382.16;earth_368.19;methane_355.67;altitude_325.16;atmospheric_283.31;stratospheric_260.25;uranus_254.6;surface_226.02;oxygen_210.8
bn:00074567n;Stratum;formation_609.29;stratum_477.71;rock_288.84;layer_279.43;sandstone_212.91;fossil_169.6;sediment_144.24;stratigraphy_138.18;chalk_135.3;fold_132.71;steno_123.32;deposit_119.67;bed_106.71;epidermis_101.36
bn:00074572n;Straw;straw_833.93;bale_677.91;use_286.86;hay_285.87;thatch_165.45;baler_163.16;barley_162.45;oat_149.57;roof_127.74;switchgrass_126.47;mulch_126.0;barn_121.77;grain_121.31;material_119.39
bn:00074577n;Strawberry;strawberry_1581.03;fruit_392.1;tomato_338.48;shortcake_294.6;plant_225.87;berry_134.75;fragaria_131.03;cultivar_111.64;strawberryland_95.33;fragaria chiloensis_80.12;garden strawberry_74.91;fragaria vesca_68.46;flower_66.72;pasadena_65.3
bn:00074588n;Watercourse;stream_1222.31;river_375.75;flow_271.89;meander_222.35;water_199.91;channel_132.59;creek_124.41;erosion_103.95;sediment_85.97;bed_81.73;tributary_81.44;gradient_80.61;basin_68.44;lake eyre_66.75
bn:00074594n;Streamliner;train_1177.66;locomotive_864.27;steam locomotive_364.37;rail_352.58;streamlined_315.49;speed_299.22;streamliner_275.26;service_271.48;zephyr_253.24;car_202.75;passenger_200.81;passenger train_191.27;high-speed_187.99;amtrak_171.93
bn:00074595n;Street;street_2245.34;wall street_303.86;avenue_298.17;road_276.5;bowery_274.87;boulevard_239.06;alley_177.09;broadway_164.94;ledra_134.51;lane_105.28;fleet street_90.45;park avenue_81.32;pedestrian_80.71;champs-élysées_79.58
bn:00074613n;Tram;tram_5913.79;tramway_1314.26;line_877.54;rail_478.92;system_436.02;car_424.47;network_368.64;operate_328.57;tramcar_303.83;streetcar_291.53;electric_277.67;depot_236.74;route_212.8;bus_207.83
bn:00074619n;Streptococcus;streptococcus_830.53;infection_780.49;s._431.27;bacterium_393.03;antibiotic_310.37;pneumoniae_216.93;bacterial_216.26;gbs_203.75;linezolid_190.69;scarlet fever_180.94;aureus_172.29;endocarditis_165.78;disease_159.25;mutans_139.35
bn:00074625n;Streptokinase;enzyme_451.41;substrate_119.66;streptokinase_97.01;reaction_83.18;clopidogrel_60.3;coagulation_58.73;clot_57.46;platelet_57.21;inhibitor_54.66;catalyze_51.96;bind_50.61;thrombolysis_48.79;active site_45.61;plasminogen_41.76
bn:00074630n;Streptomycin;antibiotic_910.36;tb_581.39;tuberculosis_541.1;treatment_463.63;bacterium_454.37;streptomycin_429.14;infection_317.74;patient_311.5;drug_310.48;disease_236.75;rifampicin_192.01;strain_187.62;resistance_177.9;bacterial_167.14
bn:00074638n;Stressor;stress_1029.38;cortisol_312.11;stressor_233.57;stressors_177.66;cope_127.62;stressful_124.83;response_115.08;anxiety_97.58;individual_89.41;effect_85.95;brain_83.43;symptom_80.79;behavior_73.63;disorder_72.17
bn:00074641n;Stretching;muscle_506.61;exercise_322.98;stretch_308.45;massage_303.11;pain_184.44;yawn_148.06;chiropractic_121.04;rotator cuff_119.49;piriformis_117.9;injury_110.98;brachial plexus_99.02;pilates_86.59;nerve_79.43;motion_78.44
bn:00074649n;Stretcher;ambulance_912.45;stretcher_357.11;patient_269.37;elevator_267.58;emergency_177.76;casualty_146.13;ems_126.63;vehicle_124.78;transport_122.21;match_109.44;bed_89.71;litter_84.03;use_81.72;medical_76.93
bn:00074652n;Streusel;amana_72.26;cake_71.52;streusel_58.78;pastry_46.12;apple pie_46.03;eierschecke_39.31;dessert_38.45;babka_35.52;file_34.04;jpg_33.6;sweet_32.11;dough_31.32;hungarian_27.84;dish_25.08
bn:00074665n;Stridor;airway_335.23;stridor_186.08;trachea_171.4;symptom_138.03;tbi_127.57;patient_126.55;croup_116.5;laryngeal_96.17;aortic arch_75.61;diphtheria_74.28;breathing_73.5;lung_70.54;anaphylaxis_67.26;wheeze_66.91
bn:00074677n;Strikeout;strikeout_1602.83;batter_1159.57;pitcher_1157.7;pitch_1066.24;inning_1001.06;game_591.49;strike_479.24;ball_448.39;era_395.99;baseball_370.75;feller_370.55;major league_349.96;season_341.96;record_317.86
bn:00074682n;Twine;rope_245.23;bale_239.36;fiber_229.61;jute_179.1;twine_178.36;sisal_111.55;knot_104.89;baler_97.51;use_96.94;whirligig_89.52;coir_80.32;kenaf_64.66;textile_61.19;yarn_60.46
bn:00074749n;Strophe;poem_269.54;strophe_206.0;ode_190.49;poetry_183.33;stanza_138.65;keats_136.57;verse_107.2;lowell_90.71;poet_89.57;whitman_85.76;urn_83.03;rhyme_78.52;psalm_70.01;poetic_56.41
bn:00074750n;Structuralism;structuralism_647.9;derrida_613.77;language_406.07;theory_390.85;structuralist_308.97;anthropology_299.66;saussure_287.92;deconstruction_286.36;structure_253.96;culture_218.23;lévi-strauss_207.77;meaning_183.18;linguistics_176.13;barthes_167.24
bn:00074761n;Strudel;pastry_459.26;strudel_244.02;dough_236.36;german_191.57;empanadas_187.06;filling_187.0;poppy seed_180.31;cheese_177.9;meat_146.64;cuisine_145.06;bread_144.03;dish_141.42;bake_137.52;breakfast_136.2
bn:00074765n;Strut;strut_111.25;shock absorber_104.28;king post_65.97;truss_54.02;spring_41.52;aircraft_35.44;damp_33.5;twin-tube_31.03;arv_27.65;mono-tube_25.63;shock_21.15;compression_21.13;pelican_20.68;super2_19.5
bn:00074767n;Strychnine;strychnine_787.44;alkaloid_468.74;poison_290.63;wolf_231.82;seed_193.9;poisoning_190.42;plant_176.99;strychnos_149.01;indole_129.43;toxic_126.98;pesticide_121.22;enzyme_119.36;synthesis_118.64;glycine_108.74
bn:00074776n;Stucco;stucco_762.78;plaster_608.88;lath_458.67;cement_248.4;wall_225.38;eifs_221.89;lime_189.68;coat_129.87;plasterer_119.96;trowel_108.42;dingbat_102.67;portland cement_98.82;plastering_89.39;use_87.2
bn:00074786n;Studio;studio_987.7;post-production_667.58;animation_387.97;angham_265.67;broadcaster_252.08;tv_233.42;ova_184.08;glass_175.22;artist_143.03;art_65.8;asahi_65.29;tokyo_61.68;rosenfelt_53.11;sunrise_52.46
bn:00074818n;Stunt;film_1116.26;stunt_667.76;cinema_256.03;chan_207.49;movie_181.68;hudgens_133.22;jayan_127.24;actor_115.7;bollywood_107.04;action_94.79;scene_91.88;jackass_88.29;spider-man_83.52;hong kong_82.91
bn:00074823n;Stupidity;disability_242.1;intellectual_180.63;stupidity_110.31;ronell_89.12;term_51.87;stupid_46.78;mental retardation_41.28;iq_36.36;fool_31.82;people_30.37;developmental_29.65;idiot_29.09;skill_24.44;adaptive_23.02
bn:00074827n;Sturgeon;sturgeon_2241.1;fish_932.03;caviar_249.46;specie_225.92;spawn_199.15;pallid_198.07;roe_177.25;paddlefish_173.44;river_146.07;acipenser_145.34;white sturgeon_129.13;bowfin_106.06;water_106.04;shovelnose_94.92
bn:00074845n;Stylus;stylus_829.78;tablet_392.73;record_248.08;groove_239.91;recording_212.38;phonograph_200.45;turntable_190.51;disc_181.13;use_172.89;surface_165.94;pencil_151.59;rpm_140.83;vinyl_130.7;pen_126.78
bn:00074847n;Stymie;ball_31.56;hole_24.84;stymie_24.04;putt_22.26;match_17.28;player_13.21;usga_12.1;win_12.05;rule_11.15;opponent_10.17;obstruct_9.5;great britain_9.02;shute_7.59;mitchell_6.93
bn:00074858n;Subaltern;rank_230.1;regiment_204.39;subaltern_201.69;army_196.0;british_193.14;officer_169.99;infantry_128.33;spears_116.63;rcmp_113.85;battalion_98.26;ensign_94.45;force_89.42;troop_84.23;commander_79.33
bn:00074866n;Flagellate;flagellate_315.49;flagellum_249.8;dinoflagellate_196.88;cell_195.79;protist_186.98;organism_186.31;bacterium_144.26;algae_143.81;giardia_129.65;protozoon_119.36;euglena_105.51;microorganism_105.19;phylum_103.68;animal_102.06
bn:00074871n;Subconscious;mind_407.06;nous_269.71;intellect_203.47;subconscious_179.41;hypnosis_147.01;consciousness_133.87;conscious_123.33;inhibition_121.88;mask_112.56;thought_111.78;soul_106.41;psychology_106.36;mental_101.66;human_83.97
bn:00074873n;Subcontinent;continent_341.2;asia_201.31;subcontinent_127.63;region_125.45;pakistan_108.77;south america_108.47;india_90.58;north america_82.39;suhrawardy_66.04;america_62.14;landmass_55.97;south_46.66;indian_45.72;ghaffar_40.65
bn:00074874n;Subcontractor;contract_539.94;contractor_518.5;consensusdocs_376.94;needed_281.93;project_281.62;subcontractor_271.4;construction_250.19;pfi_206.95;plas_184.95;bond_164.8;information_157.77;cost_130.5;performance bond_123.63;payment_94.57
bn:00074876n;Subculture;subculture_1143.11;culture_470.31;punk_439.61;goth_315.71;skinhead_301.42;fashion_178.81;hip_163.64;hop_158.32;cultural_136.53;lolita_132.78;hacker_124.41;poseur_120.98;youth culture_118.56;mainstream_111.14
bn:00074889n;Subfamily;subfamily_675.68;tribe_137.22;genus_75.44;family_68.5;genera_46.57;subfamilies_43.63;taxon_40.19;specie_37.89;gozmány_26.43;leaf beetle_25.84;moth_24.67;ant_20.42;cricetids_18.5;beetle_17.92
bn:00074898n;Subgroup;subgroup_3152.07;group_1968.27;element_651.44;coset_566.95;finite_537.36;cyclic_513.13;abelian group_331.57;isomorphic_284.78;order_268.9;normal_224.77;permutation_219.32;integer_212.07;abelian_204.63;quotient_196.98
bn:00074904n;Subjectivity;emotion_355.19;experience_325.05;consciousness_259.15;subjectivity_207.69;kant_177.49;qualia_176.91;subjective_164.46;human_161.49;truth_127.72;theory_120.03;god_111.63;phenomenology_109.49;perception_107.38;knowledge_104.33
bn:00074920n;Subluxation;joint_279.77;subluxation_267.36;dislocation_216.27;hip_210.44;pain_141.31;ligament_104.09;marfan_85.65;patient_84.19;thumb_84.0;dysplasia_80.27;syndrome_79.58;ra_76.61;treatment_75.66;hypermobility_72.83
bn:00074926n;Submersible;submarine_1235.13;submersible_634.93;diver_466.19;dive_441.19;underwater_417.4;diving_267.32;depth_246.53;pressure_228.59;bathysphere_225.81;beebe_181.28;hull_178.39;vessel_176.64;diving bell_171.95;surface_166.53
bn:00074959n;Subpoena;court_1337.79;subpoena_937.88;case_555.13;writ_464.62;trial_344.42;defendant_335.06;witness_304.85;al-arian_284.93;constable_274.13;shakur_267.99;jurisdiction_227.9;judge_223.56;plaintiff_220.21;chancery_212.97
bn:00074971n;Subset;set_2893.58;subset_1509.57;element_804.75;-lcb-_737.64;-rcb-_602.52;card_421.43;set theory_270.68;finite_267.76;order_261.04;natural number_243.26;cardinality_222.67;multiset_219.49;countable_206.79;infinite_199.32
bn:00074973n;Subsidiary;company_1127.84;subsidiary_417.51;shareholder_279.9;corporation_221.4;share_144.63;entity_105.14;copperweld_104.24;business_98.27;limited liability_96.54;tecmo_91.87;koei_88.28;peiker_86.45;liability_83.28;limited company_80.23
bn:00074977n;Subsidy;subsidy_1023.06;price_320.3;emission_320.01;country_222.67;government_222.54;energy_215.47;tax_212.09;cost_195.33;market_193.25;free trade_186.16;carbon_177.0;economic_167.76;increase_166.08;food_159.75
bn:00074983n;Subsoil;soil_2061.7;water_259.23;plant_241.1;clay_225.84;organic_209.78;nutrient_202.03;mulch_179.59;subsoil_125.55;creek_119.23;mineral_116.92;catawissa_116.51;nitrogen_113.88;humus_105.34;colloid_99.9
bn:00075008n;Suburb;suburb_867.19;suburban_246.26;sprawl_138.51;city_124.69;streetcar_113.96;urban_94.31;development_76.0;urban sprawl_75.14;suburbanization_71.28;residential_67.3;housing_60.81;suburbia_60.43;area_60.15;exurb_52.43
bn:00075013n;Subversion;subversion_205.75;quisling_192.2;otpor_148.67;subversive_138.95;government_138.26;political_107.04;cia_99.89;satire_90.16;treason_79.58;hitler_77.59;special branch_72.78;espionage_71.88;sedition_68.99;pla_67.8
bn:00075021n;Subwoofer;amplifier_1316.95;subwoofer_968.7;loudspeaker_952.05;speaker_867.38;sound_731.08;subwoofers_581.39;driver_527.41;audio_435.89;enclosure_378.45;woofer_358.67;frequency_350.44;low frequency_336.02;horn_319.21;tweeter_318.84
bn:00075032n;Succotash;dish_237.47;jaimee_103.81;leslie_99.94;courtney_96.52;sylvester_91.89;cuisine_90.12;ahran_85.61;cutter_78.42;succotash_68.51;narragansett_61.91;cook_57.54;willie_56.7;judge_55.02;challenge_43.27
bn:00075033n;Succubus;succubus_932.02;demon_650.75;lilith_391.78;vampire_225.06;constantine_216.62;morrigan_185.8;human_174.37;dream_167.01;demonology_165.49;incubus_151.1;bo_138.05;fae_119.23;belial_118.58;darkstalkers_111.16
bn:00075036n;Suction;pump_1069.11;vacuum_580.69;suction_435.34;pressure_352.53;fluid_242.0;cavitation_222.21;water_165.86;vacuum cleaner_160.18;liquid_108.77;injector_98.26;compressor_97.2;al-jazari_94.39;flow_91.35;excavator_70.97
bn:00075062n;Suede;shoe_401.78;leather_376.58;suede_252.83;microfiber_122.17;fabric_114.78;wear_113.69;fiber_112.56;shoe polish_93.1;boot_90.18;karrimor_89.95;textile_84.67;ultrasuede_75.69;chap_66.12;tan_65.7
bn:00075064n;Suet;suet_324.56;butter_248.43;fat_233.59;pudding_224.86;pastry_203.19;meat_196.32;dumpling_178.29;lard_162.56;chili_130.52;dish_119.17;food_105.8;beef_102.66;tallow_95.56;recipe_87.58
bn:00075071n;Suffix;suffix_2254.7;verb_1535.42;noun_1490.24;word_869.72;vowel_750.21;plural_748.07;adjective_660.41;form_594.18;singular_468.57;e.g._437.06;language_399.33;stem_349.14;prefix_340.63;consonant_339.87
bn:00075073n;Suffragette;woman_1833.97;suffrage_1406.13;suffragette_769.51;wspu_641.88;pankhurst_585.59;suffragist_297.81;vote_292.79;women_256.88;feminist_204.42;right_195.68;movement_177.14;emmeline_159.21;nuwss_156.43;women's social and political union_151.55
bn:00075123n;Sulfate;sulfate_1255.12;sulfur_873.36;ion_371.81;sulfuric acid_362.02;salt_219.32;oxygen_194.02;hydrogen sulfide_191.25;compound_181.35;sulfite_178.22;sodium sulfate_162.29;acid_162.14;alum_147.74;sulfide_139.94;anion_113.63
bn:00075124n;Sulfide;sulfur_1106.19;sulfide_673.88;metal_604.39;copper_493.05;zinc_474.66;hydrogen sulfide_362.02;sulfate_334.76;compound_331.77;selenium_315.35;nickel_281.56;ore_268.2;cadmium_243.93;oxidation state_224.57;mineral_207.48
bn:00075135n;Sulky;horse_885.18;sulky_247.85;cart_180.73;breed_178.48;finnhorse_170.93;carriage_153.52;race_150.18;harness_144.12;varenne_100.83;finnhorses_87.01;harness racing_85.21;pony_83.92;trot_78.78;horse racing_78.14
bn:00075151n;Summer;summer_473.47;monsoon_275.59;winter_217.73;rainfall_208.97;month_175.34;precipitation_160.06;day_155.54;vacation_152.43;climate_145.95;season_132.02;rain_129.25;temperature_124.04;northern hemisphere_116.84;holiday_116.4
bn:00075163n;Sumo;sumo_1357.29;wrestler_1151.9;yokozuna_785.08;tournament_702.15;ōzeki_392.22;rank_358.05;makuuchi_348.59;division_310.98;jūryō_310.63;bout_285.98;maegashira_227.36;stable_202.03;sumo wrestler_192.62;sekiwake_177.39
bn:00075167n;Sump;engine_713.15;sump_382.74;oil_353.42;cylinder_158.89;crankcase_156.63;pump_133.25;crankshaft_117.88;valve_110.34;water_109.64;piston_105.53;slough_104.19;sump pump_101.28;motor oil_100.83;mini_99.74
bn:00075170n;Sun;sun_2462.46;solar_1407.62;earth_723.3;sunspot_696.68;solar wind_414.31;star_404.8;solar system_323.26;orbit_321.34;photosphere_287.22;corona_274.56;magnetic field_235.45;mass_235.02;atmosphere_222.63;planet_221.12
bn:00075171n;Sunlight;sun_1463.65;solar_1439.81;earth_922.74;sunlight_585.43;light_491.19;sunspot_482.94;atmosphere_476.21;surface_371.95;uv_321.98;radiation_317.06;wavelength_307.3;irradiance_290.48;moon_264.85;temperature_246.87
bn:00075177n;Sunscreen;sunscreen_773.14;uv_661.3;skin_440.82;vitamin_379.13;melanoma_342.95;sunscreens_273.59;uva_238.49;tan_235.11;sunburn_224.38;radiation_221.37;exposure_215.78;sun_206.12;uvb_190.83;skin cancer_178.16
bn:00075196n;Sunburst;art deco_166.25;halo_135.78;monstrance_131.0;pattern_77.96;sunburst_77.5;building_70.6;jpg_62.07;pie chart_48.85;design_48.27;crepuscular_43.13;interior design_40.55;chrysler_38.07;wiltern_34.58;ray_33.66
bn:00075203n;Sundial;sundial_1856.19;dial_880.0;clock_565.29;gnomon_506.02;sun_333.57;hyperbola_320.88;hour_299.93;time_284.81;analemma_239.12;noon_206.21;shadow_205.46;equation_203.31;equatorial_163.93;axis_151.88
bn:00075204n;Sunset;sun_946.3;sunset_515.0;sunrise_393.51;earth_356.3;horizon_325.7;analemma_280.35;color_273.74;blue_241.69;solar_222.48;sky_222.44;planet_208.55;light_205.74;twilight_203.2;red_200.39
bn:00075207n;Sundress;wear_205.64;dress_177.01;shirt_105.48;frock_95.48;fashion_93.19;garment_82.04;2000s_69.17;zipper_66.82;aloha_63.92;popular_61.89;sundress_58.55;sweater_55.22;clothing_54.17;skirt_53.09
bn:00075220n;Sunroof;model_685.87;car_553.84;engine_495.92;rear_408.15;roof_327.05;trim_263.85;vehicle_250.88;sunroof_227.77;wheel_225.99;convertible_196.32;available_168.14;generation_159.69;toyota_154.98;eldorado_151.28
bn:00075230n;Supercharger;engine_3181.3;supercharger_1299.45;turbocharger_777.11;fuel_638.75;compressor_448.17;cylinder_417.64;piston_410.73;power_396.13;diesel engine_394.83;boost_379.57;compression_358.19;pressure_331.62;exhaust_319.55;air_268.38
bn:00075236n;Superconductivity;superconductor_1644.52;superconducting_1072.27;superconductivity_890.54;magnetic field_566.53;temperature_350.22;electron_328.0;material_305.06;ybco_208.53;vortex_190.38;phase transition_188.1;critical_183.58;magnet_161.5;current_147.22;transition_146.21
bn:00075251n;Superfund;epa_1141.7;superfund site_546.29;site_517.04;superfund_457.69;cercla_415.0;environmental_340.34;npl_325.45;hazardous_259.84;cleanup_256.46;landfill_223.27;clean_213.31;national priorities list_189.56;list_170.15;toxmap_170.02
bn:00075276n;Superlative;verb_1259.91;noun_1071.8;adjective_982.77;word_798.73;genie_587.65;adverb_544.45;form_506.09;suffix_480.71;plural_469.15;pronoun_431.29;possessive_333.56;language_327.35;use_316.01;singular_306.63
bn:00075277n;Supermarket;supermarket_1349.68;store_1346.51;sainsbury_614.81;chain_475.97;asda_344.03;kroger_339.83;loblaw_276.38;morrisons_256.37;product_248.17;convenience store_235.74;brand_225.46;retailer_196.34;poundland_189.93;price_180.65
bn:00075279n;Supermodel;model_1044.49;fashion_413.41;supermodel_397.45;vogue_382.0;magazine_137.58;designer_132.96;supermodels_130.68;modeling_120.22;klum_117.81;runway_114.96;cover_113.02;gandy_108.22;dorian_107.99;galanos_106.46
bn:00075285n;Supernova;supernova_3087.33;star_1665.17;white dwarf_753.0;mass_561.97;core_513.25;type_424.34;sn_406.26;luminosity_373.31;supergiant_310.37;explosion_305.38;helium_277.71;hydrogen_269.9;collapse_240.02;ia_226.44
bn:00075289n;Superoxide;oxygen_1026.69;superoxide_625.79;electron_519.95;hydrogen peroxide_335.15;ozone_322.48;antioxidant_292.67;alkali metal_284.72;ros_282.63;reaction_270.48;potassium_252.89;free radical_230.7;molecule_226.66;caesium_226.48;enzyme_225.43
bn:00075290n;Phylum;phylum_957.12;organism_467.0;genus_364.15;animal_232.24;fossil_198.97;specie_183.07;bacteria_155.28;cambrian_140.34;annelid_127.89;archaea_113.09;orders_103.23;cell_101.13;species_89.66;polychaete_88.12
bn:00075298n;Superstition;belief_470.62;superstition_386.81;religion_236.78;magic_195.7;witchcraft_168.64;drews_134.15;skinner_129.35;voltaire_127.44;god_125.6;vampire_118.15;ritual_93.7;witch_93.1;religious_91.39;practice_85.57
bn:00075302n;Superstructure;ship_1991.05;gun_600.99;superstructure_335.7;battleship_325.96;turret_282.99;hull_257.99;vessel_204.65;armor_191.6;deck_183.69;class_176.6;thick_176.5;cruiser_171.48;fleet_167.41;aft_158.65
bn:00075303n;Supersymmetry;theory_1438.49;particle_1166.76;supersymmetry_1065.09;higgs_891.97;boson_830.89;string theory_631.78;quantum_551.08;gauge_450.4;model_429.11;mass_418.72;supersymmetric_411.97;fermion_407.63;symmetry_379.41;quark_348.75
bn:00075305n;Surtax;tax_290.72;income_169.05;income tax_127.03;taxis_96.43;tax rate_76.07;surtax_71.65;new zealand_62.45;rate_56.96;tariff_53.0;impose_52.64;taxpayer_43.41;congress_35.83;futa_31.76;taxation_31.0
bn:00075310n;Supervisor;taskmaster_612.1;employee_306.37;bully_215.34;job_210.34;supervisor_184.96;workplace_161.67;organization_153.57;stage manager_119.16;organizational_114.2;management_106.26;proctor_100.52;behavior_86.93;worker_84.46;dissent_78.91
bn:00075315n;Supper;meal_416.44;seder_251.89;eat_183.89;breakfast_126.08;supper_110.37;iftar_101.92;meat_99.93;food_97.86;bread_97.77;dinner_95.02;dish_93.72;lunch_89.42;k-ration_73.45;seders_63.4
bn:00075345n;Suppository;rectal_499.67;drug_499.59;prolapse_318.92;rectum_236.16;suppository_220.13;patient_218.58;enema_208.17;cocaine_199.07;medication_182.73;treatment_168.84;paracetamol_156.91;pain_154.8;progesterone_148.01;diazepam_146.84
